frequency,magnitude,phase
3.044272212064302874e+00,-4.024845980915997692e-05,-1.744234106131607454e-01
3.086664943337273037e+00,-4.137721170467145330e-05,-1.768523123721435775e-01
3.129648010670751823e+00,-4.253761883810498284e-05,-1.793150369290121282e-01
3.173229634734976212e+00,-4.373056895658863268e-05,-1.818120552525188949e-01
3.217418150676371713e+00,-4.495697469848243560e-05,-1.843438448686834930e-01
3.262222009711670090e+00,-4.621777430125031575e-05,-1.869108899520560974e-01
3.307649780744240875e+00,-4.751393231029940047e-05,-1.895136814182493412e-01
3.353710152002930656e+00,-4.884644031964549061e-05,-1.921527170177572408e-01
3.400411932703705897e+00,-5.021631773090433934e-05,-1.948285014310770502e-01
3.447764054734464345e+00,-5.162461253928773053e-05,-1.975415463651550851e-01
3.495775574363275240e+00,-5.307240211960354828e-05,-2.002923706511712809e-01
3.544455673970433818e+00,-5.456079407011969610e-05,-2.030815003436842459e-01
3.593813663804627634e+00,-5.609092704196736795e-05,-2.059094688211540181e-01
3.643858983763544224e+00,-5.766397161965847510e-05,-2.087768168878609276e-01
3.694601205199302463e+00,-5.928113121896585915e-05,-2.116840928772424080e-01
3.746050032748993175e+00,-6.094364299638043309e-05,-2.146318527566639378e-01
3.798215306190734442e+00,-6.265277880871918462e-05,-2.176206602336475116e-01
3.851107002325570683e+00,-6.440984617563159757e-05,-2.206510868635750688e-01
3.904735236885560123e+00,-6.621618928550723521e-05,-2.237237121588880884e-01
3.959110266468458761e+00,-6.807319002067616575e-05,-2.268391236998057447e-01
4.014242490499322358e+00,-6.998226901733204676e-05,-2.299979172465789479e-01
4.070142453219436796e+00,-7.194488674474908184e-05,-2.332006968533053559e-01
4.126820845702954266e+00,-7.396254463850896930e-05,-2.364480749833252071e-01
4.184288507901582577e+00,-7.603678623084277532e-05,-2.397406726262182319e-01
4.242556430717777438e+00,-7.816919833787680581e-05,-2.430791194164272084e-01
4.301635758106795215e+00,-8.036141228256773030e-05,-2.464640537535284226e-01
4.361537789208003169e+00,-8.261510512343290201e-05,-2.498961229241709048e-01
4.422273980505899260e+00,-8.493200095850865559e-05,-2.533759832257106992e-01
4.483855948021188809e+00,-8.731387222835466943e-05,-2.569043000915596231e-01
4.546295469532399380e+00,-8.976254107692931312e-05,-2.604817482182754107e-01
4.609604486828433600e+00,-9.227988074912150441e-05,-2.641090116944161958e-01
4.673795107992461340e+00,-9.486781701722470615e-05,-2.677867841311816210e-01
4.738879609717653096e+00,-9.752832965660507899e-05,-2.715157687948698273e-01
4.804870439655131165e+00,-1.002634539599567688e-04,-2.752966787411697536e-01
4.871780218794630635e+00,-1.030752822978598098e-04,-2.791302369513186665e-01
4.939621743878320537e+00,-1.059659657092476418e-04,-2.830171764701483461e-01
5.008407989848209674e+00,-1.089377155584302212e-04,-2.869582405460457397e-01
5.078152112327673606e+00,-1.119928052133493609e-04,-2.909541827728563401e-01
5.148867450137495361e+00,-1.151335718000350792e-04,-2.950057672337541015e-01
5.220567527846974976e+00,-1.183624179773317580e-04,-2.991137686471079804e-01
5.293266058360561743e+00,-1.216818137772197260e-04,-3.032789725143709147e-01
5.366976945540476329e+00,-1.250942984981965570e-04,-3.075021752700182742e-01
5.441714286865890315e+00,-1.286024826440049077e-04,-3.117841844335660917e-01
5.517492376129125908e+00,-1.322090499202444188e-04,-3.161258187636967198e-01
5.594325706169377632e+00,-1.359167592879047986e-04,-3.205279084145188362e-01
5.672228971644543094e+00,-1.397284470699640174e-04,-3.249912950939951584e-01
5.751217071841614015e+00,-1.436470291264829659e-04,-3.295168322245639603e-01
5.831305113526221717e+00,-1.476755030837326838e-04,-3.341053851059857527e-01
5.912508413831877974e+00,-1.518169506183202923e-04,-3.387578310804476578e-01
5.994842503189408589e+00,-1.560745398194598272e-04,-3.434750596999508465e-01
6.078323128297229871e+00,-1.604515276207108335e-04,-3.482579728960203402e-01
6.162966255132942273e+00,-1.649512622732200555e-04,-3.531074851517607138e-01
6.248788072006891348e+00,-1.695771859183303927e-04,-3.580245236762963357e-01
6.335804992658251145e+00,-1.743328372161623068e-04,-3.630100285816245664e-01
6.424033659394190465e+00,-1.792218540513868192e-04,-3.680649530619171661e-01
6.513490946272802340e+00,-1.842479763181206819e-04,-3.731902635753024389e-01
6.604193962330305645e+00,-1.894150487714101570e-04,-3.783869400281617557e-01
6.696160054853218746e+00,-1.947270239800224026e-04,-3.836559759619750376e-01
6.789406812696109128e+00,-2.001879653371523905e-04,-3.889983787427523376e-01
6.883952069645496330e+00,-2.058020501734076030e-04,-3.944151697530796641e-01
6.979813907830660469e+00,-2.115735729489303806e-04,-3.999073845868258426e-01
7.077010661181889262e+00,-2.175069485391261108e-04,-4.054760732465340078e-01
7.175560918936924715e+00,-2.236067156072505128e-04,-4.111223003435453549e-01
7.275483529196228538e+00,-2.298775400773611101e-04,-4.168471453008849026e-01
7.376797602527734199e+00,-2.363242187018507333e-04,-4.226517025589499599e-01
7.479522515621821022e+00,-2.429516827254960497e-04,-4.285370817840387647e-01
7.583677914997190683e+00,-2.497650016585627642e-04,-4.345044080797587083e-01
7.689283720758309570e+00,-2.567693871531854404e-04,-4.405548222013498383e-01
7.796360130405233235e+00,-2.639701969839923046e-04,-4.466894807729689387e-01
7.904927622696424017e+00,-2.713729391532314502e-04,-4.529095565079677699e-01
8.015006961565404708e+00,-2.789832760905092417e-04,-4.592162384322104884e-01
8.126619200091946382e+00,-2.868070289828282700e-04,-4.656107321104709929e-01
8.239785684528515119e+00,-2.948501822387887138e-04,-4.720942598759473308e-01
8.354528058382866718e+00,-3.031188880435637138e-04,-4.786680610629431287e-01
8.470868266557406656e+00,-3.116194710769829360e-04,-4.853333922427499614e-01
8.588828559546250574e+00,-3.203584333378347161e-04,-4.920915274627791769e-01
8.708431497690723333e+00,-3.293424591235772020e-04,-4.989437584889882538e-01
8.829699955494087149e+00,-3.385784201307494952e-04,-5.058913950516392699e-01
8.952657125996395848e+00,-3.480733807156319391e-04,-5.129357650944414981e-01
9.077326525210228425e+00,-3.578346032871964743e-04,-5.200782150271172632e-01
9.203731996618220279e+00,-3.678695538564680104e-04,-5.273201099814429638e-01
9.331897715733239451e+00,-3.781859077567720521e-04,-5.346628340708077243e-01
9.461848194721996563e+00,-3.887915554914834712e-04,-5.421077906533345869e-01
9.593608287093141840e+00,-3.996946087758288728e-04,-5.496564025986214741e-01
9.727203192450541991e+00,-4.109034067361104015e-04,-5.573101125581361170e-01
9.862658461312820535e+00,-4.224265222740782033e-04,-5.650703832393257908e-01
1.000000000000000000e+01,-4.342727686263608876e-04,-5.729386976834860423e-01
1.013925407558815373e+01,-4.464512061016110366e-04,-5.809165595474358179e-01
1.028044732093309754e+01,-4.589711489895931988e-04,-5.890054933890562783e-01
1.042360673976401131e+01,-4.718421726991317827e-04,-5.972070449567374872e-01
1.056875971184804008e+01,-4.850741210535690763e-04,-6.055227814827901511e-01
1.071593399822671167e+01,-4.986771138286202453e-04,-6.139542919808695931e-01
1.086515774652538369e+01,-5.126615544776725198e-04,-6.225031875474694720e-01
1.101645949633656940e+01,-5.270381380725174675e-04,-6.311711016675367603e-01
1.116986818467822573e+01,-5.418178594923273462e-04,-6.399596905242603828e-01
1.132541315152811556e+01,-5.570120218068914291e-04,-6.488706333130951354e-01
1.148312414543511117e+01,-5.726322449177882008e-04,-6.579056325600624033e-01
1.164303132920876749e+01,-5.886904744343715665e-04,-6.670664144444006238e-01
1.180516528568805512e+01,-6.051989908000296285e-04,-6.763547291256107874e-01
1.196955702359042739e+01,-6.221704186658511340e-04,-6.857723510749549334e-01
1.213623798344240612e+01,-6.396177365445194791e-04,-6.953210794114758064e-01
1.230524004359261525e+01,-6.575542867087828813e-04,-7.050027382425757549e-01
1.247659552630869761e+01,-6.759937853933633591e-04,-7.148191770092389152e-01
1.265033720395903849e+01,-6.949503332636927438e-04,-7.247722708359362054e-01
1.282649830528059809e+01,-7.144384261823741875e-04,-7.348639208852834059e-01
1.300511252173408572e+01,-7.344729662878755720e-04,-7.450960547175163873e-01
1.318621401394748460e+01,-7.550692733536707845e-04,-7.554706266548280036e-01
1.336983741824946570e+01,-7.762430965117767890e-04,-7.659896181506539170e-01
1.355601785329368880e+01,-7.980106262500802610e-04,-7.766550381639492073e-01
1.374479092677536585e+01,-8.203885067973022780e-04,-7.874689235385300412e-01
1.393619274224142046e+01,-8.433938488040363963e-04,-7.984333393875449048e-01
1.413025990599533621e+01,-8.670442424298553533e-04,-8.095503794831285793e-01
1.432702953409831004e+01,-8.913577707468599547e-04,-8.208221666513231263e-01
1.452653925946781222e+01,-9.163530235571321157e-04,-8.322508531723146197e-01
1.472882723907501834e+01,-9.420491115682259366e-04,-8.438386211860623431e-01
1.493393216124251843e+01,-9.684656809952382327e-04,-8.555876831033872865e-01
1.514189325304351996e+01,-9.956229285316650114e-04,-8.675002820225775624e-01
1.535275028780422701e+01,-1.023541616767243388e-03,-8.795786921515944545e-01
1.556654359271061949e+01,-1.052243090042247762e-03,-8.918252192359384933e-01
1.578331405652118136e+01,-1.081749290711325143e-03,-9.042422009922461701e-01
